variable	ca	ki	la	mo	tu	ur	vl	ya
jan_depth	16.82	43.95	9.24	8.00	28.50	35.03	29.56	25.58
snow_days	309.95	181.04	124.23	211.04	247.09	186.66	214.76	273.28
